name,province,country,country_code,latitude,longitude
Amsterdam,Noord-Holland,Netherlands,NL,52.3676,4.9041
Haarlem,Noord-Holland,Netherlands,NL,52.3874,4.6462
Zaanstad,Noord-Holland,Netherlands,NL,52.4547,4.8139
Haarlemmermeer,Noord-Holland,Netherlands,NL,52.3025,4.6917
Almere,Flevoland,Netherlands,NL,52.3508,5.2647
Alkmaar,Noord-Holland,Netherlands,NL,52.6324,4.7534
Amstelveen,Noord-Holland,Netherlands,NL,52.3114,4.8546
Hoorn,Noord-Holland,Netherlands,NL,52.6422,5.0597
Purmerend,Noord-Holland,Netherlands,NL,52.505,4.9597
Hilversum,Noord-Holland,Netherlands,NL,52.2292,5.1669
Den Helder,Noord-Holland,Netherlands,NL,52.9563,4.76
Heerhugowaard,Noord-Holland,Netherlands,NL,52.6656,4.8353
Velsen,Noord-Holland,Netherlands,NL,52.4563,4.6183
Beverwijk,Noord-Holland,Netherlands,NL,52.4825,4.6567
Castricum,Noord-Holland,Netherlands,NL,52.5467,4.6581
Heiloo,Noord-Holland,Netherlands,NL,52.6003,4.7011
Langedijk,Noord-Holland,Netherlands,NL,52.6867,4.7967
Bergen (NH),Noord-Holland,Netherlands,NL,52.6711,4.7003
Uitgeest,Noord-Holland,Netherlands,NL,52.5306,4.7119
Heemskerk,Noord-Holland,Netherlands,NL,52.5108,4.67
Enkhuizen,Noord-Holland,Netherlands,NL,52.7042,5.2917
Medemblik,Noord-Holland,Netherlands,NL,52.7717,5.1083
Koggenland,Noord-Holland,Netherlands,NL,52.66,4.95
Stede Broec,Noord-Holland,Netherlands,NL,52.6958,5.2272
Drechterland,Noord-Holland,Netherlands,NL,52.6783,5.1656
Opmeer,Noord-Holland,Netherlands,NL,52.71,4.95
Schagen,Noord-Holland,Netherlands,NL,52.7867,4.7983
Hollands Kroon,Noord-Holland,Netherlands,NL,52.85,4.9833
Texel,Noord-Holland,Netherlands,NL,53.0833,4.8
Den Burg,Noord-Holland,Netherlands,NL,53.0558,4.7961
Edam-Volendam,Noord-Holland,Netherlands,NL,52.5117,5.0617
Waterland,Noord-Holland,Netherlands,NL,52.4367,4.9933
Oostzaan,Noord-Holland,Netherlands,NL,52.4389,4.8742
Wormerland,Noord-Holland,Netherlands,NL,52.495,4.835
Landsmeer,Noord-Holland,Netherlands,NL,52.4333,4.9167
Beemster,Noord-Holland,Netherlands,NL,52.55,4.9
Diemen,Noord-Holland,Netherlands,NL,52.3389,4.9592
Ouder-Amstel,Noord-Holland,Netherlands,NL,52.295,4.9117
Uithoorn,Noord-Holland,Netherlands,NL,52.235,4.8317
Aalsmeer,Noord-Holland,Netherlands,NL,52.2594,4.7619
Blaricum,Noord-Holland,Netherlands,NL,52.2733,5.245
Eemnes,Utrecht,Netherlands,NL,52.2533,5.2617
Laren,Noord-Holland,Netherlands,NL,52.255,5.2283
Huizen,Noord-Holland,Netherlands,NL,52.2961,5.2417
Bussum,Noord-Holland,Netherlands,NL,52.2792,5.1625
Naarden,Noord-Holland,Netherlands,NL,52.2958,5.1625
Muiden,Noord-Holland,Netherlands,NL,52.3308,5.0667
Weesp,Noord-Holland,Netherlands,NL,52.3067,5.0417
Wijdemeren,Noord-Holland,Netherlands,NL,52.2367,5.0833
Gooise Meren,Noord-Holland,Netherlands,NL,52.29,5.15
Rotterdam,Zuid-Holland,Netherlands,NL,51.9244,4.4777
Den Haag,Zuid-Holland,Netherlands,NL,52.0705,4.3007
Leiden,Zuid-Holland,Netherlands,NL,52.1601,4.497
Dordrecht,Zuid-Holland,Netherlands,NL,51.8133,4.69
Zoetermeer,Zuid-Holland,Netherlands,NL,52.0575,4.4931
Delft,Zuid-Holland,Netherlands,NL,52.0116,4.3571
Schiedam,Zuid-Holland,Netherlands,NL,51.9194,4.3889
Vlaardingen,Zuid-Holland,Netherlands,NL,51.9128,4.3419
Maassluis,Zuid-Holland,Netherlands,NL,51.9231,4.2489
Spijkenisse,Zuid-Holland,Netherlands,NL,51.845,4.3294
Westland,Zuid-Holland,Netherlands,NL,52.0333,4.2167
Capelle aan den IJssel,Zuid-Holland,Netherlands,NL,51.9322,4.5789
Alphen aan den Rijn,Zuid-Holland,Netherlands,NL,52.1294,4.6578
Leidschendam-Voorburg,Zuid-Holland,Netherlands,NL,52.0833,4.4
Pijnacker-Nootdorp,Zuid-Holland,Netherlands,NL,52.0167,4.4333
Rijswijk,Zuid-Holland,Netherlands,NL,52.0361,4.3256
Wassenaar,Zuid-Holland,Netherlands,NL,52.1453,4.4011
Katwijk,Zuid-Holland,Netherlands,NL,52.2008,4.4072
Noordwijk,Zuid-Holland,Netherlands,NL,52.235,4.4428
Oegstgeest,Zuid-Holland,Netherlands,NL,52.1803,4.4667
Voorschoten,Zuid-Holland,Netherlands,NL,52.1278,4.45
Lisse,Zuid-Holland,Netherlands,NL,52.2575,4.5578
Hillegom,Zuid-Holland,Netherlands,NL,52.2911,4.5808
Teylingen,Zuid-Holland,Netherlands,NL,52.2167,4.5
Nieuwkoop,Zuid-Holland,Netherlands,NL,52.15,4.8
Kaag en Braassem,Zuid-Holland,Netherlands,NL,52.2,4.6333
Bodegraven-Reeuwijk,Zuid-Holland,Netherlands,NL,52.0833,4.75
Waddinxveen,Zuid-Holland,Netherlands,NL,52.0444,4.6517
Gouda,Zuid-Holland,Netherlands,NL,52.0175,4.7056
Zuidplas,Zuid-Holland,Netherlands,NL,51.9833,4.6167
Krimpenerwaard,Zuid-Holland,Netherlands,NL,51.95,4.7833
Krimpen aan den IJssel,Zuid-Holland,Netherlands,NL,51.9139,4.6025
Ridderkerk,Zuid-Holland,Netherlands,NL,51.8672,4.6011
Barendrecht,Zuid-Holland,Netherlands,NL,51.8569,4.5353
Albrandswaard,Zuid-Holland,Netherlands,NL,51.8583,4.4167
Lansingerland,Zuid-Holland,Netherlands,NL,51.9833,4.5167
Nissewaard,Zuid-Holland,Netherlands,NL,51.85,4.3333
Brielle,Zuid-Holland,Netherlands,NL,51.9017,4.1631
Hellevoetsluis,Zuid-Holland,Netherlands,NL,51.8333,4.1333
Westvoorne,Zuid-Holland,Netherlands,NL,51.8667,4.0833
Goeree-Overflakkee,Zuid-Holland,Netherlands,NL,51.75,4.0833
Hoeksche Waard,Zuid-Holland,Netherlands,NL,51.7667,4.4667
Zwijndrecht,Zuid-Holland,Netherlands,NL,51.8153,4.6378
Hendrik-Ido-Ambacht,Zuid-Holland,Netherlands,NL,51.8417,4.6333
Papendrecht,Zuid-Holland,Netherlands,NL,51.835,4.6917
Sliedrecht,Zuid-Holland,Netherlands,NL,51.82,4.77
Hardinxveld-Giessendam,Zuid-Holland,Netherlands,NL,51.8333,4.85
Gorinchem,Zuid-Holland,Netherlands,NL,51.835,4.9733
Molenlanden,Zuid-Holland,Netherlands,NL,51.8833,4.8833
Alblasserdam,Zuid-Holland,Netherlands,NL,51.8658,4.6608
Leerdam,Zuid-Holland,Netherlands,NL,51.8933,5.0917
Vijfheerenlanden,Zuid-Holland,Netherlands,NL,51.95,5.0833
Eindhoven,Noord-Brabant,Netherlands,NL,51.4416,5.4697
Tilburg,Noord-Brabant,Netherlands,NL,51.5555,5.0913
Breda,Noord-Brabant,Netherlands,NL,51.5719,4.7683
's-Hertogenbosch,Noord-Brabant,Netherlands,NL,51.6978,5.3037
Helmond,Noord-Brabant,Netherlands,NL,51.4792,5.6614
Oss,Noord-Brabant,Netherlands,NL,51.765,5.5183
Bergen op Zoom,Noord-Brabant,Netherlands,NL,51.495,4.2922
Roosendaal,Noord-Brabant,Netherlands,NL,51.5308,4.4567
Uden,Noord-Brabant,Netherlands,NL,51.66,5.6183
Waalwijk,Noord-Brabant,Netherlands,NL,51.6886,5.0711
Veghel,Noord-Brabant,Netherlands,NL,51.6167,5.5417
Meierijstad,Noord-Brabant,Netherlands,NL,51.6333,5.55
Veldhoven,Noord-Brabant,Netherlands,NL,51.4214,5.405
Best,Noord-Brabant,Netherlands,NL,51.5097,5.39
Oirschot,Noord-Brabant,Netherlands,NL,51.505,5.3117
Son en Breugel,Noord-Brabant,Netherlands,NL,51.5183,5.5033
Nuenen,Noord-Brabant,Netherlands,NL,51.47,5.5467
Geldrop-Mierlo,Noord-Brabant,Netherlands,NL,51.4233,5.5617
Heeze-Leende,Noord-Brabant,Netherlands,NL,51.3833,5.5667
Waalre,Noord-Brabant,Netherlands,NL,51.39,5.4617
Eersel,Noord-Brabant,Netherlands,NL,51.3583,5.3167
Bergeijk,Noord-Brabant,Netherlands,NL,51.3183,5.3583
Reusel-De Mierden,Noord-Brabant,Netherlands,NL,51.3617,5.1617
Bladel,Noord-Brabant,Netherlands,NL,51.3717,5.22
Cranendonck,Noord-Brabant,Netherlands,NL,51.3,5.5667
Valkenswaard,Noord-Brabant,Netherlands,NL,51.3517,5.4617
Asten,Noord-Brabant,Netherlands,NL,51.4033,5.7467
Someren,Noord-Brabant,Netherlands,NL,51.3833,5.7167
Deurne,Noord-Brabant,Netherlands,NL,51.4617,5.7933
Gemert-Bakel,Noord-Brabant,Netherlands,NL,51.5567,5.7533
Laarbeek,Noord-Brabant,Netherlands,NL,51.5167,5.6167
Boekel,Noord-Brabant,Netherlands,NL,51.6017,5.6717
Landerd,Noord-Brabant,Netherlands,NL,51.7,5.6833
Bernheze,Noord-Brabant,Netherlands,NL,51.7,5.5
Boxtel,Noord-Brabant,Netherlands,NL,51.59,5.3267
Sint-Michielsgestel,Noord-Brabant,Netherlands,NL,51.64,5.3517
Schijndel,Noord-Brabant,Netherlands,NL,51.6167,5.4333
Vught,Noord-Brabant,Netherlands,NL,51.6567,5.2933
